locationID,count,0_tip_ratio
26,22200,0.4004112331583789
22,21743,0.41545016814429836
208,21739,0.474505609638975
212,21387,0.5547140448709635
18,20880,0.5185773892310749
36,20758,0.08794234899869091
121,20361,0.3121895124195032
136,20232,0.5222509034589572
165,20228,0.3439024804909978
81,20216,0.7511611488871549
78,20040,0.603523565728053
185,19385,0.4682480253146211
167,18752,0.5599116180466394
259,18738,0.571506999725501
250,18689,0.550794258937255
222,18310,0.8215920308713991
131,18015,0.37713532071679784
123,18009,0.4314152932157915
32,17703,0.6401142609198727
241,17476,0.4048744323973682
169,17270,0.45393612826915497
200,17253,0.1871948440856715
21,16916,0.4745819773313882
47,16865,0.6365832484052392
219,16841,0.3517775828215733
83,16553,0.17094378982371713
198,16488,0.1418090806663857
29,16478,0.4859190233257645
108,16229,0.6046572280178838
117,16129,0.7247685809292711
189,16061,0.06005257077050204
195,15854,0.11941580108915888
40,15717,0.03402198430187503
85,15448,0.38790678987545196
77,15015,0.6241426611796982
3,14462,0.6207932692307693
258,14313,0.33225005222962467
139,14208,0.6198412005933165
149,14001,0.4190285218328196
248,13653,0.5358530554574356
173,13363,0.35004584151931895
86,12778,0.6549126133975706
157,12541,0.166691034757759
257,12454,0.08062406939858872
126,12269,0.425977362683147
203,12203,0.5372930609369496
52,12049,0.032446216941831627
106,11762,0.071461553416934
150,11480,0.43279924599434494
133,11409,0.12951673875285222
227,11360,0.19042510392919404
63,11188,0.48883645737755055
171,10743,0.30748754937317535
124,10708,0.43690073034395527
16,10514,0.2767643265155703
19,10422,0.5109825455971759
160,10018,0.15290921301666768
217,9936,0.22403607666290867
102,9784,0.27580763375993683
20,9677,0.360893563064071
147,9664,0.4523285747718231
93,9329,0.10812220393593101
11,9058,0.4547645345918265
67,9010,0.2375428420775112
183,8890,0.547751078250154
38,8520,0.475472961660807
98,8382,0.2824695019208735
175,7996,0.3730521601194364
101,7866,0.4423823182048254
9,7761,0.429734219269103
252,6945,0.21970895286301803
60,6941,0.4576081223628692
122,6821,0.5542824638387779
15,5977,0.3244842562432139
192,5348,0.23220876210325214
64,4801,0.2676142697881828
53,4621,0.16792034594280317
202,4212,0.043036681311944415
178,4195,0.2882765255634964
180,4152,0.33654859366134393
1,2943,0.05041887238525981
190,2766,0.057013294857260644
194,2686,0.07329985809409453
94,2399,0.3851340504093755
73,1759,0.2526572823901178
31,1583,0.11690421682298205
23,1255,0.3085054080629302
34,1165,0.03918732550708063
240,1153,0.2162821234290002
46,1101,0.5164165103189493
58,1065,0.3886861313868613
12,970,0.012463060516510343
54,897,0.010892928704142227
154,698,0.36544502617801045
201,692,0.09933964972724663
206,621,0.1641554321966693
118,561,0.2807807807807808
156,543,0.3739669421487603
184,490,0.21397379912663755
153,470,0.09036723706979427
96,412,0.1365142478462558
6,234,0.13660245183887915
44,211,0.43685300207039335
221,196,0.11673615247170935
251,141,0.09604904632152589
115,141,0.1633835457705678
5,119,0.4779116465863454
253,119,0.10897435897435898
120,118,0.029171817058096416
207,106,0.04809437386569873
27,105,0.10076775431861804
128,104,0.015476190476190477
214,70,0.063006300630063
245,23,0.04474708171206226
8,16,0.012934518997574777
187,15,0.05319148936170213
111,11,0.005497251374312844
172,11,0.04119850187265917
2,4,0.06349206349206349
57,1,6.71591672263264E-4
