locationID,avg,max,count
265,0.18477624962621533,700.0,568171
189,0.18485118012392432,200.0,497319
211,0.18487993492688629,500.0,4093333
151,0.18491694920802143,441.0,4364492
80,0.1849816589798633,282.0,724567
34,0.1850692309560318,100.0,62555
164,0.1851974299529678,457.11,10696932
24,0.18522584783655005,480.0,1660335
68,0.18525060300593926,445.5,11250831
238,0.1852869088967602,479.15,10459585
114,0.1853690887676136,500.0,6107214
236,0.1853691524824442,1600.22,19010010
158,0.18543010147120614,479.15,5292501
66,0.18556180621937307,400.0,1000205
202,0.18561067983843085,288.4,125504
229,0.1858424438167757,1624.64,9346152
234,0.18597084498349217,450.0,15171627
145,0.186212070170714,440.0,1177518
170,0.18630829917797248,462.24,16039715
90,0.1863744858013546,444.0,8577533
181,0.1865172665663805,222.0,1758563
255,0.18670003540555685,446.79,1609131
111,0.1869687681326175,55.0,3621
48,0.1869706953976366,650.0,13000829
237,0.18722606064629257,500.0,18598758
113,0.1873937017753737,493.22,7558158
249,0.187446462114012,1393.56,9645803
100,0.18751433997407124,411.38,7722980
33,0.18782865003387383,300.08,1626419
125,0.18783205617261334,445.68,2864646
43,0.18820611777933227,400.0,6444896
142,0.18832519749103613,800.0,13890692
239,0.18867096526845017,444.0,12873014
223,0.1887996127736118,333.33,855521
161,0.18896647872885264,700.0,18134192
163,0.18921606460809454,450.0,11834370
162,0.18922792526704063,999.99,16138691
264,0.18963644510416167,400.0,3041452
230,0.19165886489225853,999.99,13445830
138,0.19194903679637954,450.0,10275892
186,0.1925533878204535,433.37,14081538
204,0.1940214415720712,60.91,279
8,0.19423035967643265,70.0,3222
214,0.19435209768566203,250.0,2136
112,0.1944367969487986,445.5,1030614
54,0.19485594306511092,363.0,127940
40,0.19580864985246954,241.65,662612
52,0.19605917728466454,351.61,606111
199,0.19612858920937204,11.71,38
176,0.23903725720871635,70.0,146
