locationID,count,0_tip_ratio,LocationID,Borough,Zone,service_zone
138,347837,0.0338498107998799,23,Staten Island,Bloomfield/Emerson Hill,Boro Zone
233,239456,0.0338248466336963,36,Brooklyn,Bushwick North,Boro Zone
107,393532,0.0337566916019837,20,Bronx,Belmont,Boro Zone
238,351369,0.0335930154016626,22,Brooklyn,Bensonhurst West,Boro Zone
140,297546,0.0329154400877284,30,Queens,Broad Channel,Boro Zone
158,173606,0.0328022611615944,48,Manhattan,Clinton East,Yellow Zone
163,388072,0.0327919441423582,21,Brooklyn,Bensonhurst East,Boro Zone
143,203639,0.0321727351319651,43,Manhattan,Central Park,Yellow Zone
125,92016,0.0321212463948425,79,Manhattan,East Village,Yellow Zone
211,130354,0.0318454423326907,60,Bronx,Crotona Park East,Boro Zone
54,4068,0.0317961544473972,223,Queens,Steinway,Boro Zone
263,307278,0.0315532001630656,28,Queens,Briarwood/Jamaica Hills,Boro Zone
113,235796,0.031197548397374,37,Brooklyn,Bushwick South,Boro Zone
234,463870,0.0305748355136861,13,Manhattan,Battery Park City,Yellow Zone
161,547664,0.0302006287349334,7,Queens,Astoria,Boro Zone
249,287870,0.0298440679329652,32,Bronx,Bronxdale,Boro Zone
162,473990,0.0293697921349383,12,Manhattan,Battery Park,Yellow Zone
142,396733,0.0285610680878965,18,Bronx,Bedford Park,Boro Zone
229,263195,0.0281607874556287,35,Brooklyn,Brownsville,Boro Zone
2,4,0.0275862068965517,260,Queens,Woodside,Boro Zone
8,88,0.0273122284295468,255,Brooklyn,Williamsburg (North Side),Boro Zone
13,129066,0.0271620797449669,61,Brooklyn,Crown Heights North,Boro Zone
141,323303,0.0269227499122916,26,Brooklyn,Borough Park,Boro Zone
239,333914,0.0259390691255365,24,Manhattan,Bloomingdale,Yellow Zone
237,450534,0.0242238755942735,14,Brooklyn,Bay Ridge,Boro Zone
262,154710,0.0239997058791135,51,Bronx,Co-Op City,Boro Zone
236,448065,0.0235699507785635,15,Queens,Bay Terrace/Fort Totten,Boro Zone
105,1,0.0057803468208092,262,Manhattan,Yorkville East,Yellow Zone
